Ā:\=A,\={A},\a{=}A
Ī:\=I,\={I},\a{=}I
Ū:\=U,\={U},\a{=}U
Ṅ:\.N,\.{N},\a{.}N
Ñ:\~N,\~{N},\a{~}N
Ś:\'S,\'{S},\a{'}S
Ṭ:\d T,\d{T},\a{d}T
Ḍ:\d D,\d{D},\a{d}D
Ṇ:\d N,\d{N},\a{d}N
Ḷ:\d L,\d{L},\a{d}L
Ṃ:\d M,\d{M},\a{d}M
Ṛ:\d R,\d{R},\a{d}R
Ṣ:\d S,\d{S},\a{d}S
Ḥ:\d H,\d{H},\a{d}H
ā:\=a,\={a},\a{=}a
ī:\=i,\={i},\a{=}i
ū:\=u,\={u},\a{=}u
ṅ:\.n,\.{n},\a{.}n
ñ:\~n,\~{n},\a{~}n
ś:\'s,\'{s},\a{'}s
ṭ:\d t,\d{t},\a{d}t
ḍ:\d d,\d{d},\a{d}d
ṇ:\d n,\d{n},\a{d}n
ḷ:\d l,\d{l},\a{d}l
ṃ:\d m,\d{m},\a{d}m
ṛ:\d r,\d{r},\a{d}r
ṣ:\d s,\d{s},\a{d}s
ḥ:\d h,\d{h},\a{d}h
